排名,国家,开发者数量,占比
1,美国,120839,17.95%
2,中国,68446,10.17%
3,德国,41042,6.10%
4,印度,30679,4.56%
5,英国,27970,4.15%
6,法国,23478,3.49%
7,加拿大,19926,2.96%
8,巴西,18692,2.78%
9,日本,17292,2.57%
10,荷兰,11653,1.73%
11,澳大利亚,10863,1.61%
12,波兰,9379,1.39%
13,俄罗斯,9023,1.34%
14,意大利,8810,1.31%
15,瑞士,8413,1.25%
16,西班牙,8324,1.24%
17,瑞典,8189,1.22%
18,韩国,6590,0.98%
19,印度尼西亚,5488,0.82%
20,乌克兰,4418,0.66%
21,挪威,4230,0.63%
22,丹麦,4038,0.60%
23,新加坡,4010,0.60%
24,芬兰,3976,0.59%
25,捷克,3965,0.59%
26,越南,3920,0.58%
27,土耳其,3876,0.58%
28,奥地利,3818,0.57%
29,比利时,3697,0.55%
30,葡萄牙,3510,0.52%
31,阿根廷,3350,0.50%
32,尼日利亚,3152,0.47%
33,新西兰,2418,0.36%
34,以色列,2351,0.35%
35,墨西哥,2321,0.34%
36,泰国,2149,0.32%
37,罗马尼亚,1928,0.29%
38,爱尔兰,1911,0.28%
39,匈牙利,1713,0.25%
40,伊朗,1629,0.24%
41,哥伦比亚,1622,0.24%
42,巴基斯坦,1618,0.24%
43,南非,1579,0.23%
44,肯尼亚,1514,0.22%
45,菲律宾,1424,0.21%
46,孟加拉国,1406,0.21%
47,希腊,1346,0.20%
48,塞尔维亚,1158,0.17%
50,智利,1500,0.22%
51,马来西亚,1449,0.22%
52,埃及,1428,0.21%
53,阿拉伯联合酋长国,1423,0.21%
54,保加利亚,1369,0.20%
55,尼泊尔,1356,0.20%
56,爱沙尼亚,1207,0.18%
57,斯洛伐克,1043,0.15%
58,立陶宛,981,0.15%
59,斯洛文尼亚,884,0.13%
60,摩洛哥,868,0.13%
61,克罗地亚,863,0.13%
62,哈萨克斯坦,801,0.12%
63,斯里兰卡,794,0.12%
64,秘鲁,742,0.11%
65,格鲁吉亚,711,0.11%
66,哥斯达黎加,686,0.10%
67,白俄罗斯,627,0.09%
68,拉脱维亚,588,0.09%
69,香港,573,0.09%
70,埃塞俄比亚,557,0.08%
71,乌拉圭,516,0.08%
72,塞浦路斯,506,0.08%
73,突尼斯,503,0.07%
74,委内瑞拉,491,0.07%
75,亚美尼亚,449,0.07%
76,阿尔及利亚,447,0.07%
77,沙特阿拉伯,429,0.06%
78,冰岛,421,0.06%
79,卢森堡,398,0.06%
80,乌兹别克斯坦,393,0.06%
81,加纳,365,0.05%
82,厄瓜多尔,344,0.05%
83,乌干达,318,0.05%
84,摩尔多瓦,285,0.04%
85,多米尼加共和国,280,0.04%
86,危地马拉,267,0.04%
87,喀麦隆,259,0.04%
88,马耳他,218,0.03%
89,缅甸,211,0.03%
90,柬埔寨,195,0.03%
91,波斯尼亚和黑塞哥维那,193,0.03%
92,马达加斯加,177,0.03%
93,黑山,172,0.03%
94,阿塞拜疆,167,0.02%
95,黎巴嫩,159,0.02%
96,巴拿马,149,0.02%
97,马拉维,146,0.02%
98,坦桑尼亚,141,0.02%
99,伊拉克,136,0.02%
100,萨尔瓦多,134,0.02%
101,约旦,126,0.02%
102,玻利维亚,126,0.02%
103,卢旺达,123,0.02%
104,古巴,123,0.02%
105,蒙古国,116,0.02%
106,巴拉圭,113,0.02%
107,巴林,105,0.02%
108,阿尔巴尼亚,105,0.02%
109,塞内加尔,103,0.02%
110,津巴布韦,92,0.01%
111,吉尔吉斯斯坦,90,0.01%
112,老挝,87,0.01%
113,北马其顿,85,0.01%
114,刚果民主共和国,77,0.01%
115,尼加拉瓜,74,0.01%
116,科索沃,74,0.01%
117,澳门,72,0.01%
118,洪都拉斯,64,0.01%
119,卡塔尔,62,0.01%
120,安哥拉,62,0.01%
121,纳米比亚,57,0.01%
122,科威特,57,0.01%
123,也门,54,0.01%
124,阿曼,49,0.01%
125,利比亚,49,0.01%
126,叙利亚,46,0.01%
127,赞比亚,46,0.01%
128,苏丹,44,0.01%
129,科特迪瓦,41,0.01%
130,莫桑比克,39,0.01%
131,塔吉克斯坦,28,0.00%
132,朝鲜,28,0.00%
133,文莱,15,0.00%
134,博茨瓦纳,15,0.00%
135,巴布亚新几内亚,13,0.00%
136,土库曼斯坦,10,0.00%
137,巴勒斯坦,5,0.00%
138,马尔代夫,3,0.00%
139,东帝汶,3,0.00%
