排名,国家,项目数量,占比
1,美国,28232,25.32%
2,德国,10515,9.43%
3,中国,9903,8.88%
4,英国,7041,6.32%
5,日本,5756,5.16%
6,法国,5596,5.02%
7,加拿大,4212,3.78%
8,荷兰,2681,2.40%
9,澳大利亚,2631,2.36%
10,瑞典,2461,2.21%
11,印度,2152,1.93%
12,瑞士,1916,1.72%
13,乌克兰,1900,1.70%
14,巴西,1871,1.68%
15,波兰,1848,1.66%
16,意大利,1564,1.40%
17,俄罗斯,1437,1.29%
18,西班牙,1429,1.28%
19,挪威,1077,0.97%
20,韩国,1046,0.94%
21,新西兰,937,0.84%
22,奥地利,925,0.83%
23,芬兰,847,0.76%
24,丹麦,839,0.75%
25,比利时,726,0.65%
26,新加坡,699,0.63%
27,中国台湾,660,0.59%
28,土耳其,586,0.53%
29,捷克,578,0.52%
30,葡萄牙,567,0.51%
31,爱尔兰,483,0.43%
32,以色列,471,0.42%
33,印度尼西亚,409,0.37%
34,伊朗,347,0.31%
35,南非,329,0.30%
36,希腊,313,0.28%
37,越南,288,0.26%
38,阿根廷,277,0.25%
39,匈牙利,261,0.23%
40,阿拉伯联合酋长国,245,0.22%
41,泰国,241,0.22%
42,罗马尼亚,234,0.21%
43,斯洛伐克,230,0.21%
44,立陶宛,224,0.20%
45,马来西亚,218,0.20%
46,黑山,216,0.19%
47,爱沙尼亚,206,0.19%
48,尼日利亚,193,0.17%
49,菲律宾,183,0.16%
50,塞尔维亚,181,0.16%
51,孟加拉国,179,0.16%
52,墨西哥,148,0.13%
53,沙特阿拉伯,144,0.13%
54,哥伦比亚,142,0.13%
55,肯尼亚,138,0.12%
56,尼泊尔,129,0.12%
57,香港,113,0.10%
58,保加利亚,111,0.10%
59,秘鲁,111,0.10%
60,乌干达,95,0.09%
61,卢森堡,93,0.08%
62,突尼斯,92,0.08%
63,智利,92,0.08%
64,斯洛文尼亚,92,0.08%
65,塞浦路斯,88,0.08%
66,马达加斯加,84,0.08%
67,亚美尼亚,82,0.07%
68,白俄罗斯,78,0.07%
69,摩洛哥,76,0.07%
70,克罗地亚,76,0.07%
71,哈萨克斯坦,74,0.07%
72,黎巴嫩,72,0.06%
73,埃塞俄比亚,72,0.06%
74,巴基斯坦,72,0.06%
75,格鲁吉亚,62,0.06%
76,埃及,60,0.05%
77,乌拉圭,45,0.04%
78,冰岛,45,0.04%
79,拉脱维亚,45,0.04%
80,乌兹别克斯坦,41,0.04%
81,厄瓜多尔,37,0.03%
82,阿尔及利亚,35,0.03%
83,喀麦隆,35,0.03%
84,摩尔多瓦,35,0.03%
85,斯里兰卡,31,0.03%
86,波斯尼亚和黑塞哥维那,27,0.02%
87,玻利维亚,27,0.02%
88,委内瑞拉,19,0.02%
89,柬埔寨,19,0.02%
90,阿塞拜疆,19,0.02%
91,哥斯达黎加,19,0.02%
92,澳门,19,0.02%
93,吉尔吉斯斯坦,18,0.02%
94,伊拉克,16,0.01%
95,坦桑尼亚,14,0.01%
96,缅甸,14,0.01%
97,多米尼加共和国,14,0.01%
98,加纳,14,0.01%
99,约旦,12,0.01%
100,蒙古国,10,0.01%
101,巴拉圭,10,0.01%
102,马耳他,10,0.01%
103,纳米比亚,8,0.01%
104,利比亚,8,0.01%
105,朝鲜,8,0.01%
106,危地马拉,8,0.01%
107,古巴,8,0.01%
108,北马其顿,8,0.01%
109,老挝,8,0.01%
110,巴拿马,8,0.01%
111,尼加拉瓜,6,0.01%
112,马拉维,6,0.01%
113,也门,6,0.01%
114,赞比亚,4,0.00%
115,刚果民主共和国,4,0.00%
116,卡塔尔,2,0.00%
117,阿曼,2,0.00%
118,萨尔瓦多,2,0.00%
119,塔吉克斯坦,2,0.00%
120,阿尔巴尼亚,2,0.00%
121,津巴布韦,2,0.00%
122,叙利亚,2,0.00%
123,塞内加尔,2,0.00%
124,科威特,2,0.00%
125,巴林,2,0.00%
126,博茨瓦纳,2,0.00%
