排名,国家,项目数量,占比
1,美国,219944,22.47%
2,中国,109904,11.23%
3,德国,71165,7.27%
4,英国,51302,5.24%
5,印度,46817,4.78%
6,日本,44912,4.59%
7,法国,40973,4.19%
8,加拿大,35761,3.65%
9,巴西,29405,3.00%
10,荷兰,20511,2.10%
11,澳大利亚,19726,2.02%
12,瑞典,16436,1.68%
13,波兰,16316,1.67%
14,意大利,14654,1.50%
15,瑞士,14442,1.48%
16,俄罗斯,14354,1.47%
17,西班牙,12913,1.32%
18,韩国,11506,1.18%
19,印度尼西亚,9523,0.97%
20,乌克兰,8274,0.85%
21,挪威,7822,0.80%
22,芬兰,7023,0.72%
23,奥地利,6727,0.69%
24,丹麦,6689,0.68%
25,尼日利亚,6427,0.66%
26,越南,6112,0.62%
27,新加坡,6086,0.62%
28,土耳其,5848,0.60%
29,捷克,5462,0.56%
30,新西兰,5444,0.56%
31,葡萄牙,5278,0.54%
32,比利时,5206,0.53%
33,阿根廷,5046,0.52%
34,泰国,4279,0.44%
35,爱尔兰,3785,0.39%
36,肯尼亚,3502,0.36%
37,墨西哥,3454,0.35%
38,以色列,3108,0.32%
39,罗马尼亚,3090,0.32%
40,菲律宾,2982,0.30%
41,南非,2748,0.28%
42,匈牙利,2566,0.26%
43,伊朗,2508,0.26%
44,哥伦比亚,2482,0.25%
45,希腊,2388,0.24%
46,塞尔维亚,2250,0.23%
47,尼泊尔,2146,0.22%
48,阿拉伯联合酋长国,2140,0.22%
49,马来西亚,1949,0.20%
50,孟加拉国,1917,0.20%
51,巴基斯坦,1909,0.20%
52,保加利亚,1771,0.18%
53,爱沙尼亚,1709,0.17%
54,智利,1679,0.17%
55,斯洛伐克,1473,0.15%
56,埃及,1415,0.14%
57,立陶宛,1299,0.13%
58,斯洛文尼亚,1229,0.13%
59,克罗地亚,1115,0.11%
60,秘鲁,1111,0.11%
61,摩洛哥,1065,0.11%
62,哈萨克斯坦,1015,0.10%
63,白俄罗斯,935,0.10%
64,埃塞俄比亚,901,0.09%
65,斯里兰卡,871,0.09%
66,沙特阿拉伯,723,0.07%
67,哥斯达黎加,721,0.07%
68,格鲁吉亚,717,0.07%
69,乌拉圭,692,0.07%
70,危地马拉,676,0.07%
71,乌干达,666,0.07%
72,塞浦路斯,642,0.07%
73,喀麦隆,616,0.06%
74,突尼斯,608,0.06%
75,拉脱维亚,606,0.06%
76,乌兹别克斯坦,582,0.06%
77,委内瑞拉,558,0.06%
78,亚美尼亚,552,0.06%
79,加纳,482,0.05%
80,卢森堡,460,0.05%
81,阿尔及利亚,452,0.05%
82,马达加斯加,424,0.04%
83,香港,404,0.04%
84,厄瓜多尔,392,0.04%
85,冰岛,374,0.04%
86,黑山,370,0.04%
87,多米尼加共和国,342,0.03%
88,柬埔寨,336,0.03%
89,摩尔多瓦,316,0.03%
90,缅甸,310,0.03%
91,马拉维,300,0.03%
92,玻利维亚,284,0.03%
93,波斯尼亚和黑塞哥维那,268,0.03%
94,黎巴嫩,266,0.03%
95,阿塞拜疆,238,0.02%
96,坦桑尼亚,228,0.02%
97,马耳他,212,0.02%
98,伊拉克,206,0.02%
99,约旦,188,0.02%
100,卢旺达,170,0.02%
101,巴拿马,168,0.02%
102,塞内加尔,146,0.01%
103,纳米比亚,142,0.01%
104,澳门,140,0.01%
105,吉尔吉斯斯坦,132,0.01%
106,萨尔瓦多,132,0.01%
107,蒙古国,126,0.01%
108,巴拉圭,126,0.01%
109,巴林,122,0.01%
110,津巴布韦,120,0.01%
111,北马其顿,116,0.01%
112,古巴,112,0.01%
113,阿尔巴尼亚,94,0.01%
114,科威特,88,0.01%
115,卡塔尔,88,0.01%
116,叙利亚,88,0.01%
117,也门,70,0.01%
118,老挝,68,0.01%
119,莫桑比克,64,0.01%
120,尼加拉瓜,60,0.01%
121,安哥拉,56,0.01%
122,赞比亚,54,0.01%
123,苏丹,50,0.01%
124,刚果民主共和国,48,0.00%
125,科索沃,46,0.00%
126,洪都拉斯,44,0.00%
127,阿曼,42,0.00%
128,博茨瓦纳,40,0.00%
129,科特迪瓦,36,0.00%
130,利比亚,36,0.00%
131,塔吉克斯坦,34,0.00%
132,朝鲜,34,0.00%
133,土库曼斯坦,22,0.00%
134,文莱,4,0.00%
